Name,Math,Science,English,Total,Average,Result
Student_001,49,38,70,157,52.33,Fail
Student_002,66,63,52,181,60.33,Pass
Student_003,48,46,89,183,61.0,Pass
Student_004,39,38,46,123,41.0,Fail
Student_005,62,64,99,225,75.0,Pass
Student_006,38,60,88,186,62.0,Fail
Student_007,63,92,70,225,75.0,Pass
Student_008,35,55,89,179,59.67,Fail
Student_009,78,70,54,202,67.33,Pass
Student_010,62,78,48,188,62.67,Pass
Student_011,46,83,47,176,58.67,Pass
Student_012,80,79,68,227,75.67,Pass
Student_013,40,93,50,183,61.0,Pass
Student_014,83,45,72,200,66.67,Pass
Student_015,81,59,43,183,61.0,Pass
Student_016,40,64,72,176,58.67,Pass
Student_017,45,64,47,156,52.0,Pass
Student_018,83,70,93,246,82.0,Pass
Student_019,81,55,82,218,72.67,Pass
Student_020,80,61,69,210,70.0,Pass
Student_021,44,56,66,166,55.33,Pass
Student_022,55,94,83,232,77.33,Pass
Student_023,69,63,76,208,69.33,Pass
Student_024,42,64,39,145,48.33,Fail
Student_025,75,86,69,230,76.67,Pass
Student_026,43,62,75,180,60.0,Pass
Student_027,62,98,85,245,81.67,Pass
Student_028,93,53,68,214,71.33,Pass
Student_029,52,66,68,186,62.0,Pass
Student_030,89,86,81,256,85.33,Pass
Student_031,63,52,100,215,71.67,Pass
Student_032,98,46,41,185,61.67,Pass
Student_033,49,54,55,158,52.67,Pass
Student_034,89,43,84,216,72.0,Pass
Student_035,83,94,67,244,81.33,Pass
Student_036,36,49,69,154,51.33,Fail
Student_037,78,49,72,199,66.33,Pass
Student_038,90,55,93,238,79.33,Pass
Student_039,35,68,99,202,67.33,Fail
Student_040,57,99,48,204,68.0,Pass
Student_041,73,99,60,232,77.33,Pass
Student_042,54,82,55,191,63.67,Pass
Student_043,35,76,97,208,69.33,Fail
Student_044,37,49,81,167,55.67,Fail
Student_045,74,65,42,181,60.33,Pass
Student_046,65,45,45,155,51.67,Pass
Student_047,97,43,51,191,63.67,Pass
Student_048,51,95,56,202,67.33,Pass
Student_049,68,89,62,219,73.0,Pass
Student_050,60,74,86,220,73.33,Pass
Student_051,82,91,92,265,88.33,Pass
Student_052,50,66,63,179,59.67,Pass
Student_053,43,78,37,158,52.67,Fail
Student_054,64,63,35,162,54.0,Fail
Student_055,44,42,64,150,50.0,Pass
Student_056,43,39,77,159,53.0,Fail
Student_057,44,100,65,209,69.67,Pass
Student_058,70,97,62,229,76.33,Pass
Student_059,51,95,66,212,70.67,Pass
Student_060,95,87,59,241,80.33,Pass
Student_061,47,47,90,184,61.33,Pass
Student_062,80,89,87,256,85.33,Pass
Student_063,94,41,47,182,60.67,Pass
Student_064,42,86,78,206,68.67,Pass
Student_065,48,66,59,173,57.67,Pass
Student_066,59,92,52,203,67.67,Pass
Student_067,89,58,70,217,72.33,Pass
Student_068,94,66,44,204,68.0,Pass
Student_069,91,47,41,179,59.67,Pass
Student_070,36,46,65,147,49.0,Fail
Student_071,56,87,97,240,80.0,Pass
Student_072,96,62,86,244,81.33,Pass
Student_073,42,56,83,181,60.33,Pass
Student_074,35,84,68,187,62.33,Fail
Student_075,93,71,89,253,84.33,Pass
Student_076,97,54,59,210,70.0,Pass
Student_077,72,62,42,176,58.67,Pass
Student_078,42,75,42,159,53.0,Pass
Student_079,41,96,99,236,78.67,Pass
Student_080,55,42,100,197,65.67,Pass
Student_081,45,58,43,146,48.67,Pass
Student_082,43,65,86,194,64.67,Pass
Student_083,50,66,40,156,52.0,Pass
Student_084,45,88,75,208,69.33,Pass
Student_085,68,61,75,204,68.0,Pass
Student_086,65,68,85,218,72.67,Pass
Student_087,51,73,93,217,72.33,Pass
Student_088,75,44,36,155,51.67,Fail
Student_089,93,47,44,184,61.33,Pass
Student_090,62,99,68,229,76.33,Pass
Student_091,51,79,43,173,57.67,Pass
Student_092,66,82,71,219,73.0,Pass
Student_093,55,91,73,219,73.0,Pass
Student_094,36,73,48,157,52.33,Fail
Student_095,52,68,49,169,56.33,Pass
Student_096,48,54,69,171,57.0,Pass
Student_097,71,61,78,210,70.0,Pass
Student_098,61,68,99,228,76.0,Pass
Student_099,97,67,41,205,68.33,Pass
Student_100,46,89,70,205,68.33,Pass
Student_101,40,35,77,152,50.67,Fail
Student_102,51,68,55,174,58.0,Pass
Student_103,91,89,36,216,72.0,Fail
Student_104,49,44,54,147,49.0,Pass
Student_105,39,82,53,174,58.0,Fail
Student_106,90,51,40,181,60.33,Pass
Student_107,74,81,40,195,65.0,Pass
Student_108,80,61,66,207,69.0,Pass
Student_109,48,80,87,215,71.67,Pass
Student_110,54,65,55,174,58.0,Pass
Student_111,57,87,38,182,60.67,Fail
Student_112,57,77,87,221,73.67,Pass
Student_113,66,69,55,190,63.33,Pass
Student_114,48,83,39,170,56.67,Fail
Student_115,95,63,60,218,72.67,Pass
Student_116,93,79,74,246,82.0,Pass
Student_117,64,63,38,165,55.0,Fail
Student_118,59,86,77,222,74.0,Pass
Student_119,70,43,70,183,61.0,Pass
Student_120,79,100,86,265,88.33,Pass
